Ingredient	Count in HER
White chocolate shavings	0
White corn kernels	0
White fish fillets	1
White Mineral Oil	8
White onions	32
White peas	4
white pepper	302
White pudding	8
White radish	13
White rice	38071
White sauce	275
white sesame	30
White sesame seed	9
White sesame seeds	6
White sugar	1685
White vinegar	17779
white wine	2463
White wine vinegar	52
Whitefish	2660
Whole black lentils	0
Whole black peppercorns	1
Whole chicken	262
Whole grain cereals	5950
Whole grain rolled oats	9
Whole grain rye flour	0
Whole grain wheat, raisins, wheat bran, sugar, brown sugar syrup, salt, malt flavoring, vitamins and minerals.	0
Whole grain wheat, sugar, wheat bran, whole grain oats, corn syrup, honey, salt, malt extract, natural flavor.	0
Whole milk	133806
Whole milk powder	38
Whole rye berries	0
Whole spices (such as cinnamon, cardamom, cloves)	0
Whole wheat bread, non-dairy cheese, raw carrots, spinach, raisins, beans, tomato paste, powdered milk, potato flakes, margarine, dehydrated onion, garlic powder, salt	0
Whole wheat farina	1
Whole wheat flour	2057
Wholegrain Oat Flour	0
Wholemeal barley flour	0
Wholemeal Flour	2
Wholemeal wheat flour	0
Wide rice noodles	1
Wild animals	831
Wild betel leaf	0
Wild game	2717
Wine	509636
Wine vinegar	2773
Winged bean	0
Winter melon	7
Wolfberries	5
Wonton strips	19
wonton wrappers	3
Wood chips	1724
Wood ear fungus	0
wood ear mushrooms	0
Worcestershire sauce	2731
Wrapped in banana leaves	0
Wurst	75
Xanthan gum	387
Yak meat	0
Yam	1228
Yamaimo	9
Yams	7957
Yardlong bean	0
Yardlong beans	0
yeast	301293
Yeast extract	778
Yellow 5	932
Yellow 5 Lake	12
Yellow 6	1083
Yellow bell peppers	129
Yellow cake mix	10
Yellow candy stars	0
Yellow Chartreuse	1
Yellow curry paste	1
Yellow food coloring	39
Yellow mustard	3227
Yellow noodles	0
Yellow pepper	344
Yellow potatoes	56
Yellow Pumpkin	2
Yellow radish	0
Yellow soybeans	0
Yellow split peas	14
Yellow squash	2614
Yi mein noodles	0
Yoghurt sauce	0
Yogurt	363322
Yogurt culture	26
Yolks	9873
Yorkshire pudding	7
You Tiao	0
Young coconut	3
Young coconut meat	0
Young green rice flakes	0
Young jackfruit	0
Young radish greens	0
Young rice	0
Youtiao	0
Yuca	47
Yucca	208
Yuzu peel	0
Za'atar	19
Zgougou (powdered dried fruits and nuts)	0
Zinc Oxide	68475
Zinc sulfate	11445
Ziti	270
Zucchini	29695
Zwetschgen	0
